referring_pcp_npi,receiving_hospital_npi,transaction_count
1750324315,1861479545,273
1306111497,1861479545,411
1770578882,1861479545,156
1962656322,1861479545,1090
1578728283,1861479545,300
1154344836,1861479545,1630
1114979184,1861479545,1490
1891788840,1861479545,2184
1093830176,1861479545,202
1407274251,1861479545,232
1700871191,1861479545,72
1073603411,1861479545,69
1104897164,1861479545,81
1528174752,1861479545,88
1518161009,1861479545,150
1659474336,1861479545,293
1518143122,1861479545,159
1760574610,1861479545,89
1215916838,1861479545,1303
1932188554,1861479545,1077
1548225444,1861479545,1262
1710058136,1861479545,1174
1417900820,1861479545,132
1902078041,1861479545,117
1134355647,1861479545,396
1710032255,1861479545,182
1386664662,1861479545,101
1578531851,1861479545,1011
1740258011,1861479545,1935
1437260296,1861479545,71
1568465623,1861479545,59
1962470567,1861479545,2516
1831121011,1861479545,135
1689891889,1861479545,70
1033297429,1861479545,1239
1154425361,1861479545,144
1821145624,1861479545,115
1497793731,1861479545,97
1831181957,1861479545,1068
1376635052,1861479545,867
1316975485,1861479545,128
1548317498,1861479545,124
1912060468,1861479545,1626
1922092535,1861479545,86
1033353487,1861479545,288
1548557150,1861479545,830
1336331719,1861479545,80
1407141302,1861479545,582
1346291952,1861479545,275
1831345669,1861479545,662
1467406314,1861479545,1700
1124246681,1861479545,1913
1245208602,1861479545,136
1336200385,1861479545,876
1831139799,1861479545,150
1780904631,1861479545,62
1861451338,1861479545,258
1598833808,1861479545,110
1144377011,1861479545,71
1982829297,1861479545,1254
1184867939,1861479545,592
1154398105,1861479545,959
1407141773,1861479545,927
1487749446,1861479545,115
1326101924,1861479545,1571
1598021073,1861479545,251
1629039292,1861479545,56
1215105895,1861479545,89
1649480237,1861479545,108
1023452331,1861479545,928
1306891262,1861479545,54
1568455517,1861479545,2620
1497732762,1861479545,1168
1316985120,1861479545,64
1891773057,1861479545,353
1356304984,1861479545,82
1821257502,1861479545,579
1508839622,1861479545,65
1740240902,1861479545,488
1174517593,1861479545,88
1750494969,1861479545,770
1437316106,1861479545,945
1932283041,1861479545,57
1902035371,1861479545,1025
1487672291,1861479545,88
1851384747,1861479545,988
1659631299,1861479545,919
1083606248,1861479545,243
1871539502,1861479545,55
1134203243,1861479545,225
1861639031,1861479545,511
1215029897,1861479545,1861
1467428680,1861479545,996
1285781161,1861479545,557
1891887659,1861479545,849
1144309121,1861479545,62
1386600906,1861479545,1265
1962632968,1861479545,524
1578597704,1861479545,105
1578857017,1861479545,767
1487067963,1861479545,234
1891708012,1861479545,1865
1467418087,1861479545,1233
1285627398,1861479545,165
1497738462,1861479545,54
1972708667,1861479545,496
1447382221,1861479545,119
1942348081,1861479545,94
1508008053,1861479545,1584
1558653923,1861479545,690
1225031073,1861479545,58
